Year,Income Source,Sex,Region,Ethnic Group,Measure,Value,Flags
2021,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Number of People (000),99.4,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Number of People (000),92.6,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Number of People (000),99.5,
2013,All sources collected,Total Both Sexes,Total Regions,Asian,Average Weekly Income,565,
2014,All sources collected,Total Both Sexes,Total Regions,Asian,Average Weekly Income,581,
2015,All sources collected,Total Both Sexes,Total Regions,Asian,Average Weekly Income,641,
2016,All sources collected,Total Both Sexes,Total Regions,Asian,Average Weekly Income,659,
2017,All sources collected,Total Both Sexes,Total Regions,Asian,Average Weekly Income,704,
2018,All sources collected,Total Both Sexes,Total Regions,Asian,Average Weekly Income,737,
2019,All sources collected,Total Both Sexes,Total Regions,Asian,Average Weekly Income,758,
2020,All sources collected,Total Both Sexes,Total Regions,Asian,Average Weekly Income,745,
2021,All sources collected,Total Both Sexes,Total Regions,Asian,Average Weekly Income,885,
2022,All sources collected,Total Both Sexes,Total Regions,Asian,Average Weekly Income,982,
2023,All sources collected,Total Both Sexes,Total Regions,Asian,Average Weekly Income,1061,
2013,All sources collected,Total Both Sexes,Total Regions,Asian,Median Weekly Income,468,
2014,All sources collected,Total Both Sexes,Total Regions,Asian,Median Weekly Income,447,
2015,All sources collected,Total Both Sexes,Total Regions,Asian,Median Weekly Income,547,
2016,All sources collected,Total Both Sexes,Total Regions,Asian,Median Weekly Income,562,
2017,All sources collected,Total Both Sexes,Total Regions,Asian,Median Weekly Income,630,
2018,All sources collected,Total Both Sexes,Total Regions,Asian,Median Weekly Income,660,
2019,All sources collected,Total Both Sexes,Total Regions,Asian,Median Weekly Income,720,
2020,All sources collected,Total Both Sexes,Total Regions,Asian,Median Weekly Income,640,
2021,All sources collected,Total Both Sexes,Total Regions,Asian,Median Weekly Income,840,
2022,All sources collected,Total Both Sexes,Total Regions,Asian,Median Weekly Income,945,
2023,All sources collected,Total Both Sexes,Total Regions,Asian,Median Weekly Income,1012,
2013,All sources collected,Total Both Sexes,Total Regions,Asian,Number of People (000),425,
2014,All sources collected,Total Both Sexes,Total Regions,Asian,Number of People (000),433.8,
2015,All sources collected,Total Both Sexes,Total Regions,Asian,Number of People (000),417.3,
2016,All sources collected,Total Both Sexes,Total Regions,Asian,Number of People (000),456.1,
2017,All sources collected,Total Both Sexes,Total Regions,Asian,Number of People (000),494.3,
2018,All sources collected,Total Both Sexes,Total Regions,Asian,Number of People (000),547.9,
2019,All sources collected,Total Both Sexes,Total Regions,Asian,Number of People (000),597,
2020,All sources collected,Total Both Sexes,Total Regions,Asian,Number of People (000),623.5,
2021,All sources collected,Total Both Sexes,Total Regions,Asian,Number of People (000),615,
2022,All sources collected,Total Both Sexes,Total Regions,Asian,Number of People (000),619.6,
2023,All sources collected,Total Both Sexes,Total Regions,Asian,Number of People (000),677.1,
2013,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,691,
2014,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,250,
2015,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,1103,
2016,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,997,
2017,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,936,
2018,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,580,
2019,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,824,
2020,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,941,
2021,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,804,
2022,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,1520,
2023,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,799,
2013,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,479,
2014,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,115,
2015,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,767,
2016,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,767,
2017,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,595,
2018,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,479,
2019,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,300,
2020,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,500,
2021,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,767,
2022,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,1034,
2023,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,499,
2013,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),1.5,
2014,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),2.4,
2015,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),1.7,
2016,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),3.5,
2017,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),3.9,
2018,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),4.8,
2019,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),5.3,
2020,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),6.7,
2021,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),5.7,
2022,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),6,
2023,Self-employment Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),5.6,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,874,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,943,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,872,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,970,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,1135,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,1084,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,1109,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,1218,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,1262,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,1362,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,1413,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,696,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,840,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,756,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,863,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,959,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,999,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,1050,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,1074,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,1080,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,1247,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,1247,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),14.7,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),15.8,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),16.8,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),21.1,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),23,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),25.3,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),25.5,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),29.8,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),30.6,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),31.2,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),33.9,
2013,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,255,
2014,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,274,
2015,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,294,
2016,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,293,
2017,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,275,
2018,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,278,
2019,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,314,
2020,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,274,
2021,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,302,
2022,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,378,
2023,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,434,
2013,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,230,
2014,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,250,
2015,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,274,
2016,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,250,
2017,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,268,
2018,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,260,
2019,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,279,
2020,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,279,
2021,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,270,
2022,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,321,
2023,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,369,
2013,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),8.2,
2014,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),12.8,
2015,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),12.2,
2016,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),8,
2017,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),8.5,
2018,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),9.1,
2019,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),10.8,
2020,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),11.7,
2021,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),10.7,
2022,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),9,
2023,Government Transfer Income,Total Both Sexes,Total Regions,MELAA,Number of People (000),12.1,
2013,All sources collected,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,530,
2014,All sources collected,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,487,
2015,All sources collected,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,579,
2016,All sources collected,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,644,
2017,All sources collected,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,718,
2018,All sources collected,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,701,
2019,All sources collected,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,756,
2020,All sources collected,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,815,
2021,All sources collected,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,907,
2022,All sources collected,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,1086,
2023,All sources collected,Total Both Sexes,Total Regions,MELAA,Average Weekly Income,1022,
2013,All sources collected,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,430,
2014,All sources collected,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,326,
2015,All sources collected,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,434,
2016,All sources collected,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,528,
2017,All sources collected,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,432,
2018,All sources collected,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,489,
2019,All sources collected,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,586,
2020,All sources collected,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,575,
2021,All sources collected,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,768,
2022,All sources collected,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,1020,
2023,All sources collected,Total Both Sexes,Total Regions,MELAA,Median Weekly Income,827,
2013,All sources collected,Total Both Sexes,Total Regions,MELAA,Number of People (000),30.2,
2014,All sources collected,Total Both Sexes,Total Regions,MELAA,Number of People (000),39.2,
2015,All sources collected,Total Both Sexes,Total Regions,MELAA,Number of People (000),34.9,
2016,All sources collected,Total Both Sexes,Total Regions,MELAA,Number of People (000),39.3,
2017,All sources collected,Total Both Sexes,Total Regions,MELAA,Number of People (000),42.6,
2018,All sources collected,Total Both Sexes,Total Regions,MELAA,Number of People (000),44.2,
2019,All sources collected,Total Both Sexes,Total Regions,MELAA,Number of People (000),46.1,
2020,All sources collected,Total Both Sexes,Total Regions,MELAA,Number of People (000),53.6,
2021,All sources collected,Total Both Sexes,Total Regions,MELAA,Number of People (000),50.5,
2022,All sources collected,Total Both Sexes,Total Regions,MELAA,Number of People (000),49.2,
2023,All sources collected,Total Both Sexes,Total Regions,MELAA,Number of People (000),55,
2013,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,913,
2014,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,633,
2015,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1050,
2016,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,712,
2017,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,865,
2018,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1082,
2019,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1082,
2020,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1167,
2021,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,999,
2022,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1145,
2023,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1001,
2013,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,575,
2014,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,575,
2015,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,767,
2016,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,575,
2017,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,760,
2018,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,767,
2019,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,767,
2020,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,882,
2021,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,479,
2022,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,671,
2023,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,767,
2013,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),7.2,
2014,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),8.2,
2015,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),6.2,
2016,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),5,
2017,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),8,
2018,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),12.3,
2019,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),13.6,
2020,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),12.3,
2021,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),10.2,
2022,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),10,
2023,Self-employment Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),9,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,968,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,972,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,987,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1043,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,992,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1092,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1204,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1205,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1262,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1278,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1473,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,872,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,855,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,908,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,959,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,960,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,1016,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,1015,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,999,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,1062,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,1200,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,1209,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),34.9,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),38.7,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),37.8,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),18.6,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),32.6,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),41.9,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),39.3,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),31.6,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),24.4,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),21.8,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),28.9,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,305,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,296,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,309,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,309,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,337,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,344,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,346,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,367,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,405,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,409,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,424,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,310,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,317,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,326,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,318,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,341,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,343,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,343,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,370,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,387,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,402,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,432,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),25.1,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),30.2,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),29.2,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),11.3,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),25.1,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),27,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),26.7,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),28.7,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),20.3,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),19.8,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),25,
2013,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,725,
2014,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,665,
2015,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,727,
2016,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,731,
2017,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,727,
2018,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,831,
2019,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,887,
2020,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,853,
2021,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,906,
2022,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,956,
2023,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Average Weekly Income,1003,
2013,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,575,
2014,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,460,
2015,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,461,
2016,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,590,
2017,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,537,
2018,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,630,
2019,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,625,
2020,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,540,
2021,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,569,
2022,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,652,
2023,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Median Weekly Income,634,
2013,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),66.6,
2014,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),78.1,
2015,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),73.3,
2016,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),35.3,
2017,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),65.3,
2018,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),80.9,
2019,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),79.4,
2020,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),71.5,
2021,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),53.1,
2022,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),49.3,
2023,All sources collected,Total Both Sexes,Total Regions,Other Ethnicity,Number of People (000),62,
